# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,85312.932326,13.744941,1.037109,73.651365,-10.276231,-106.391449,33.894791
pos,85585.381906,12.023540,3.621929,68.915496,-14.245550,-106.442757,33.859135
pos,85645.927866,4.353240,1.336630,46.415076,34.014318,-106.686523,34.292660
pos,85409.192103,10.502860,1.521840,70.955601,22.734775,-106.420654,34.191334
pos,85522.219551,10.030030,1.899170,53.573727,9.079571,-106.608971,34.068665
pos,85222.047647,2.320840,1.306720,44.168816,30.679496,-106.710861,34.262703
pos,85458.924119,11.857850,2.038011,-1.702032,3.101071,-107.207825,34.014961
pos,85342.482375,11.832300,2.158110,45.471306,32.116146,-106.696747,34.275608
pos,85492.271326,1.300320,2.543420,44.833931,29.694105,-106.703651,34.253849
pos,85762.446381,5.466550,2.958060,55.166850,-31.446567,-106.591705,33.704613
pos,85391.590782,11.090600,1.735930,-0.289215,1.161081,-107.192520,33.997532
pos,85566.784137,12.997510,2.774830,46.817297,33.069224,-106.682167,34.284168
pos,85222.008112,9.562870,1.454620,58.071920,-0.504428,-106.560234,33.982571
neg,85480.101089,6.819600,2.633430,56.944062,-31.775792,-106.572456,33.701656
neg,85769.143650,7.345080,2.300380,-0.333346,1.794819,-107.192993,34.003227
neg,85268.247878,10.317889,1.446610,0.335552,3.776627,-107.185753,34.021030
neg,85638.047407,5.536390,2.414190,54.708520,33.109141,-106.596672,34.284527
neg,85283.917648,6.438770,2.708010,0.421292,1.949167,-107.184822,34.004612
neg,85388.355490,6.282080,2.635790,51.416360,12.165003,-106.632339,34.096382
neg,85256.102762,5.631270,2.878220,55.287895,-22.387198,-106.590393,33.785995
neg,85677.694355,6.562330,3.491210,79.631092,-24.540081,-106.326660,33.766655
neg,85752.221386,4.049810,3.109320,71.076646,24.362648,-106.419342,34.205956
neg,85376.015186,5.495300,1.835500,-18.879643,4.455605,-107.393929,34.027130
neg,85694.612928,6.290050,2.175120,63.692927,23.380298,-106.499336,34.197132
neg,85425.862565,6.479560,2.270440,-2.108035,3.378973,-107.212227,34.017456
