# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
neg,86372.703927,6.932070,2.336181,29.272769,-65.217146,-106.872246,33.401249
neg,86238.991828,7.260090,2.125690,62.195001,6.170156,-106.515564,34.042530
neg,85843.547612,7.389000,1.365440,67.737203,23.005073,-106.455521,34.193760
neg,86219.461730,11.427560,2.415530,68.966562,24.197656,-106.442200,34.204475
neg,86212.184431,8.054200,2.802890,73.350645,-17.580751,-106.394707,33.829174
neg,86080.712085,6.622760,1.957920,69.376978,21.279497,-106.437752,34.178261
neg,86372.903959,6.418650,2.297690,-0.096300,-3.878407,-107.190430,33.952263
neg,86292.280751,7.076010,1.629460,62.776897,21.950111,-106.509262,34.184284
neg,85999.990949,12.382310,2.010480,51.869647,-39.914778,-106.627426,33.628544
neg,86145.890814,8.288940,1.477220,68.056206,22.699039,-106.452065,34.191013
neg,86134.140599,7.019320,1.574600,48.820206,31.777037,-106.660469,34.272560
neg,85884.118092,5.595000,3.110780,-3.233372,-0.318527,-107.224419,33.984241
neg,86066.547856,10.506741,1.221930,30.501498,-68.824547,-106.858932,33.368843
neg,85807.065763,6.850990,2.253700,55.255112,21.852789,-106.590752,34.183411
neg,85861.738382,5.978060,0.821290,-0.599391,-0.291915,-107.195877,33.984482
neg,86103.135395,7.563480,2.145940,52.573218,-39.221354,-106.619804,33.634773
neg,86257.550458,9.021310,1.072960,29.021854,-64.370135,-106.874962,33.408855
neg,85957.869323,9.526780,2.080501,74.117260,-17.080452,-106.386398,33.833668
neg,85930.667653,10.996950,3.518460,64.206736,-20.148016,-106.493767,33.806110
neg,86072.161166,6.095300,2.137231,70.198442,24.479359,-106.428856,34.207005
neg,86190.278050,11.657060,2.243300,72.219004,-7.428783,-106.406967,33.920368
neg,86387.336576,7.408720,1.718540,62.202566,22.002194,-106.515480,34.184753
neg,86383.778415,6.529080,1.981189,1.378300,-2.750073,-107.174454,33.962399
neg,86150.112873,5.176430,2.627600,59.131060,14.963029,-106.548759,34.121517
neg,86303.998337,6.868490,1.947849,-2.792063,-7.134154,-107.219635,33.923016
neg,85833.628044,4.556710,3.464410,50.056500,-25.504944,-106.647072,33.757988
neg,86152.202083,7.667630,1.935550,68.324773,21.821615,-106.449158,34.183128
neg,85851.677640,6.756480,1.749810,-2.062644,2.563516,-107.211731,34.010132
neg,85958.290730,6.764390,2.105101,47.322910,28.089421,-106.676689,34.239433
neg,86306.921732,7.662660,1.770250,31.273157,-69.379970,-106.850571,33.363853
neg,86138.904261,8.438510,1.388230,75.345358,-24.290312,-106.373093,33.768898
neg,86026.276652,7.349210,1.421651,68.711233,21.344886,-106.444969,34.178848
neg,85806.458894,6.316900,2.027891,55.796030,19.953096,-106.584892,34.166344
neg,86014.728568,1.555470,3.752250,-17.127649,2.048010,-107.374947,34.005501
neg,85934.919774,8.922020,2.845711,61.580321,21.656623,-106.522224,34.181648
neg,85959.687143,10.178140,2.243370,52.390390,-23.687367,-106.621788,33.774315
neg,86296.371334,7.990040,1.942580,31.263700,-65.241857,-106.850677,33.401024
neg,86098.334393,7.895490,2.469630,78.123709,-19.124608,-106.342995,33.815304
neg,85988.683814,0.241980,1.828170,-20.593811,-0.942761,-107.412498,33.978634
neg,86030.355556,6.674440,3.658471,73.203121,-17.768554,-106.396301,33.827484
neg,85909.246705,12.399890,0.544761,79.044783,-24.989438,-106.333015,33.762619
neg,86364.994037,9.745420,3.040371,51.829298,-37.571431,-106.627869,33.649593
neg,86282.291071,8.630111,0.865299,29.862231,-64.571623,-106.865860,33.407047
neg,86088.653422,6.848110,1.768910,-1.176244,-4.256293,-107.202126,33.948868
neg,86315.410811,8.578720,0.280880,29.831970,-64.303986,-106.866188,33.409451
neg,85812.418365,12.696700,0.574250,51.321163,-37.517828,-106.633369,33.650074
neg,85877.092453,6.839140,1.756640,0.795773,-3.330207,-107.180763,33.957188
neg,86163.263954,6.237990,2.941859,64.793046,-37.250191,-106.487419,33.652477
neg,86184.826056,7.934480,1.634350,69.881961,22.485006,-106.432281,34.189091
neg,86177.116600,4.893620,2.753070,76.678109,-25.355918,-106.358658,33.759327
neg,85951.225098,7.148140,2.316820,0.220181,-1.222183,-107.186996,33.976124
neg,85915.090333,6.081730,1.755210,69.767221,18.790547,-106.433525,34.155903
neg,86239.962823,6.888800,1.787431,-0.057843,-7.298766,-107.190010,33.921535
neg,86130.331516,7.402540,1.006390,70.784752,21.138836,-106.422501,34.176998
neg,86203.715089,8.744670,0.983210,48.888294,-39.296247,-106.659729,33.634098
neg,86120.681874,7.520240,1.822080,67.512766,22.157682,-106.457954,34.186150
neg,86253.965611,9.046170,1.434799,55.576637,-36.076236,-106.587265,33.663025
neg,86109.669305,6.507930,3.275899,72.178025,-19.530246,-106.407410,33.811661
neg,86169.851786,6.610090,2.296830,45.611895,-32.833035,-106.695229,33.692158
neg,86010.640030,5.028740,3.670569,72.506485,-17.192601,-106.403847,33.832661
neg,86287.027759,7.285250,1.987019,-0.139800,-1.787111,-107.190903,33.971050
neg,86317.182155,6.365660,1.983610,55.642833,28.075355,-106.586548,34.239307
neg,85998.282539,6.629740,2.243809,63.340511,23.140413,-106.503151,34.194977
neg,85980.928628,6.512950,2.498080,54.634128,28.677539,-106.597481,34.244717
neg,85845.058604,7.886240,1.559400,74.853615,-18.455895,-106.378418,33.821312
neg,86359.357014,2.885940,5.155531,63.498751,21.301927,-106.501442,34.178463
neg,85898.795534,2.475910,4.016970,66.468756,22.951470,-106.469261,34.193279
neg,86201.802787,6.931210,2.629810,53.262290,-37.543679,-106.612343,33.649841
neg,86186.252714,6.686940,1.432810,52.986157,31.379763,-106.615334,34.268993
neg,85816.811543,5.105690,1.936420,72.263765,25.500867,-106.406479,34.216183
neg,86110.093472,5.432170,2.055090,47.774305,-29.936546,-106.671799,33.718178
neg,86010.740588,7.902100,1.377060,31.987446,-67.348360,-106.842834,33.382103
neg,85887.694075,11.433570,2.029460,80.705993,-22.422553,-106.315018,33.785679
neg,85911.784717,6.800540,1.836400,48.812010,29.956420,-106.660553,34.256207
neg,86134.766804,7.211550,1.895651,66.519822,-8.303546,-106.468712,33.912510
neg,85838.185972,7.079820,2.349401,-0.529413,1.909249,-107.195122,34.004253
neg,86069.895499,8.433750,1.951540,55.187024,-36.793991,-106.591492,33.656578
neg,86267.243267,6.836560,1.815010,0.153354,-1.814863,-107.187721,33.970798
neg,86026.544064,6.893970,1.390839,26.619245,-68.830249,-106.900993,33.368790
neg,86293.907262,6.865610,2.362590,73.613538,-12.430254,-106.391853,33.875439
neg,85875.822879,6.603920,1.760160,49.161274,25.629744,-106.656769,34.217339
neg,86154.135966,2.120300,2.221370,80.202272,-20.945606,-106.320473,33.798946
neg,86020.067712,6.778550,1.752470,0.558097,-0.514313,-107.183342,33.982483
